Datetime,Text
2021-04-28 13:25:17+00:00,"Microsoft (#MSFT, $MSFT) price target increased by Raymond James from $275 to $290 with a Strong Buy rating.
#Microsoft #RaymondJames"
2021-04-28 13:14:59+00:00,"$MSFT Q3 Earnings Report:
- Gaming revenue grew 50%
- Xbox Hardware revenue grew 232%
- Xbox Content &amp; Services revenue increased 34% 

Pretty safe to say that #MSFT is pretty happy with their recent #Xbox  investments. (2/3)"
2021-04-28 13:05:12+00:00,"Morning Market Conversation💯🤑🚣🏽‍♂️
#biden #stocks #stonks #msft #google #pins #spy #pinterest #shop #MMC #ForeverSlowStroking #SlowStroking #YKM 🚣🏽‍♂️ https://t.co/XEvDvvKKfU"
2021-04-28 13:05:06+00:00,"Microsoft (#MSFT, $MSFT) price target increased by Barclays (#BCS, $BCS) from $268 to $288 with a Overweight rating.
#Microsoft #Barclays"
2021-04-28 12:52:13+00:00,"News (long range?)🙄
$MVIS (micro vision)  Some one should buy this Company  what your Choice (Defence /AI FSD or Gaming ) 
1. Microsoft  (#msft)
2. Tesla  (#tsla)
3. Apple (#aapl)
4. Amazon (#amzn)
5. Lockheed Martin (#lm)
6. Boeing(#BA)
#stocks #stockmarket #cnbc #mvis #cnbcNow https://t.co/hi1cd7Z2u1"
2021-04-28 12:36:52+00:00,"Didn't register for ASIA 2021 yet?! Sure you don't want to attend the Partner telemetry clinic with Microsoft or one of the key sessions on performance? 
🚀 Get your FREE ticket, via https://t.co/TIAwxGAnNh 
#DirectionsASIA #msdyn365bc #MSFT https://t.co/QPRjEZgsYi"
2021-04-28 09:23:31+00:00,$MSFT one of the most mentioned on wallstreetbets over the last 24 hours
2021-04-28 09:05:38+00:00,"#Microsoft and #Alphabet's #earnings beat expectations, the #Nasdaq recuperates. Do you expect the bullish rally in the #StockMarket to gain even more positive momentum? 🦈

https://t.co/kEOnTgCDFv

#trading #stocks #MSFT #Google #StocksToTrade"
2021-04-28 08:20:08+00:00,"quarterly report  : #MSFT 

 Microsoft posted revenue of $41.7 billion, up 19% from a year ago..

Office 365, Teams segment had revenue of $13.55 billion, up 15%..

Azure revenue was up 50%

Gaming was $3.5 billion, up 50%"
2021-04-28 07:33:16+00:00,$MSFT one of the most mentioned on 4chan over the last 24 hours
2021-04-28 06:03:52+00:00,"In Q3 FY 21, @Microsoft did exceedingly well across all its core strengths, driven by digital transformation, and close integration across the overall portfolio. 

Key revenue drivers for $MSFT

👉🏾 Cloud +23%
👉🏾 Productivity +15%
👉🏾 LinkedIn  +25%
👉🏾 Gaming  +50%. 

#MSFT https://t.co/9b28UxTJpn"
2021-04-28 05:49:04+00:00,"#Wednesday #markets #Europe expected to open up. 
Mainly earnings today #LLOY #SBRY #GSK #BA #AAPL #FB #F – also #MSFT #GOOG &amp; #AMD last night. Watching #EURUSD with #Fed on rates &amp; #Biden 100-day speech. Join @IGcom at 07:30amUK for #EarlyMorningCall -  
https://t.co/t7xbaLPqC7 https://t.co/P90CjxnzQg"
2021-04-28 05:25:23+00:00,"Link here to start your online business
https://t.co/og8thr61c9

#RealMadrid #ChampionsLeague #cdc #Bayern #NUFCTakeover #AffiliateMarketing #LoganPaul #billionaire #playstationnetwork #Entrepreneur #AMD #MSFT #KevinLove #Trending #fyp #GetOutGlazers #moon #business #dogecoin https://t.co/cXCb8k9Fkz"
2021-04-28 04:01:40+00:00,#MSFT 4Q guide from top to bottom line is 🔥🔥🔥
2021-04-28 03:09:00+00:00,"Microsoft’s total revenues rose 19% to US$41.7 billion, while its operating income jumped 31% to US$17 billion in the quarter ended March 31, 2021
@Microsoft #MSFT #revenue #cloud #stockmarketupdate #NASDAQ 
https://t.co/ICyYTeZ9k4"
2021-04-28 02:50:54+00:00,"$SPY Pivots -Support &amp; Resistance for W 4/28
$FB, $AMZN , $AAPL
$GOOG, $TSLA, $NFLX
$NVDA, $ABNB, $AMD
$MSFT, $SHOP, $SNOW, 
$PLNT

Long above&gt; Pivot &lt;Short below

#stocks #markets #daytrading $spx $spy #FB #AMZN #AAPL #GOOG #TSLA #NFLX #NVDA #ABNB #AMD #MSFT #SHOP #SNOW #PLNT https://t.co/1OP398I4IM"
2021-04-28 02:01:27+00:00,"$MSFT #MSFT Almost at the 5.618 extension from the 2000-2009 measured move. 

https://t.co/MQ0BW6k1tT"
2021-04-28 01:55:21+00:00,"$SPY

High Beta Earnings results
so far?

Down afterwards:
-NFLX
-TSLA
-MSFT

UP..
-GOOG

Next...
-AAPL
-FB
-AMZN

#SPY #QQQ #AAPL #FB #TSLA 
#NFLX #AMZN #MSFT #GOOG"
2021-04-28 01:15:25+00:00,@MarketRebels #msft going to be up tomorrow. And between Google and this ad revenue $FB might be a big winner tomorrow.
2021-04-28 01:10:02+00:00,"News on #Crypto

@binance has launched its first stock token, allowing its customers to speculate on the price of @Tesla

Along with listing shares for @coinbase the firm will also launch tokenized stock pairings for #MSTR #Apple #MSFT

Read @Cointelegraph
https://t.co/mIeLm5zFNv"
2021-04-28 00:54:30+00:00,#msft earnings killer !!!
2021-04-27 23:11:31+00:00,I swear I have the opposite of golden touch! #MSFT 🤧 https://t.co/RVLtvO2Ivv
